Name;Measure;Geo Type Name;Geo Place Name;Time Period
Nitrogen dioxide (NO2);Mean;UHF34;Washington Heights;Winter 2010-11
Nitrogen dioxide (NO2);Mean;CD;Morrisania and Crotona (CD3);Annual Average 2009
Nitrogen dioxide (NO2);Mean;CD;Morrisania and Crotona (CD3);Annual Average 2011
Nitrogen dioxide (NO2);Mean;CD;Lower East Side and Chinatown (CD3);Annual Average 2009
Nitrogen dioxide (NO2);Mean;CD;Lower East Side and Chinatown (CD3);Summer 2014
Nitrogen dioxide (NO2);Mean;CD;Lower East Side and Chinatown (CD3);Annual Average 2020
Nitrogen dioxide (NO2);Mean;UHF42;Hunts Point - Mott Haven;Summer 2014
Nitrogen dioxide (NO2);Mean;UHF42;Hunts Point - Mott Haven;Winter 2018-19
Nitrogen dioxide (NO2);Mean;Borough;Brooklyn;Annual Average 2009
Nitrogen dioxide (NO2);Mean;UHF34;Sunset Park;Annual Average 2011
Nitrogen dioxide (NO2);Mean;UHF34;Southeast Queens;Annual Average 2020
Nitrogen dioxide (NO2);Mean;UHF42;East New York;Annual Average 2014
Nitrogen dioxide (NO2);Mean;UHF42;East New York;Summer 2017
Nitrogen dioxide (NO2);Mean;CD;Upper West Side (CD7);Winter 2010-11
Nitrogen dioxide (NO2);Mean;CD;Upper West Side (CD7);Summer 2009
Nitrogen dioxide (NO2);Mean;CD;Upper West Side (CD7);Winter 2014-15
Nitrogen dioxide (NO2);Mean;UHF34;Sunset Park;Summer 2018
Nitrogen dioxide (NO2);Mean;UHF34;Sunset Park;Summer 2017
Nitrogen dioxide (NO2);Mean;UHF34;Bayside Little Neck-Fresh Meadows;Summer 2017
Nitrogen dioxide (NO2);Mean;UHF34;Bayside Little Neck-Fresh Meadows;Summer 2018
Nitrogen dioxide (NO2);Mean;UHF42;Pelham - Throgs Neck;Summer 2018
Nitrogen dioxide (NO2);Mean;UHF42;Pelham - Throgs Neck;Summer 2020
Nitrogen dioxide (NO2);Mean;UHF42;Williamsburg - Bushwick;Winter 2011-12
